4073886881,29; 5,35
4172731987,19; 4,83
4265024735,97; 4,55
4364462517,39; 4,26
4450202909,05; 4,21
4556785723,11; 3,92
4664553888,20; 4,09
4778281734,89; 3,79
4869981808,15; 3,28
4970012265,09; 3,22
5068857370,99; 2,70
5176625536,08; 2,87
5247483186,95; 2,60
5362989060,20; 2,99
5448136776,34; 2,71
5569009655,67; 2,41
5654157371,81; 2,13
5747042796,11; 2,08
5838742869,37; 1,57
5953656067,10; 1,73
6023921042,45; 1,23
6101331050,44; 0,73
6193623799,21; 0,44
6299021262,23; -0,31
6369878913,10; -0,58
6433591531,33; -0,85
6511001539,31; -1,35
6596149255,45; -1,63
6673559263,44; -2,14
6745009589,82; -2,18
6837302338,60; -2,46
6937925471,05; -2,29
7009375797,44; -2,33
7102261221,73; -2,39
7202884354,19; -2,21
7280294362,17; -2,72
7379732143,59; -3,01
7466065210,77; -2,83
7580385732,98; -2,89
7703036638,87; -2,50
7825094869,24; -2,34
7925125326,18; -2,40
8003720685,20; -2,44
8119226558,45; -2,05
8210926631,71; -2,56
8296667023,37; -2,61
8352641933,44; -3,11
8402657161,91; -3,14
