X,CH1,CH2,Start,Increment,
Sequence,Volt,Volt,-3.000000e-02,5.000000e-05
0,1.76e+00,1.08e+00,
1,1.73e+00,1.10e+00,
2,1.73e+00,1.12e+00,
3,1.68e+00,1.14e+00,
4,1.68e+00,1.14e+00,
5,1.66e+00,1.18e+00,
6,1.66e+00,1.18e+00,
7,1.63e+00,1.21e+00,
8,1.62e+00,1.21e+00,
9,1.60e+00,1.25e+00,
10,1.60e+00,1.25e+00,
11,1.55e+00,1.27e+00,
12,1.55e+00,1.28e+00,
13,1.52e+00,1.32e+00,
14,1.52e+00,1.32e+00,
15,1.50e+00,1.36e+00,
16,1.49e+00,1.36e+00,
17,1.45e+00,1.38e+00,
18,1.45e+00,1.39e+00,
19,1.42e+00,1.43e+00,
20,1.42e+00,1.43e+00,
21,1.38e+00,1.45e+00,
22,1.38e+00,1.46e+00,
23,1.36e+00,1.49e+00,
24,1.33e+00,1.49e+00,
25,1.32e+00,1.54e+00,
26,1.31e+00,1.54e+00,
27,1.28e+00,1.56e+00,
28,1.28e+00,1.56e+00,
29,1.25e+00,1.60e+00,
30,1.25e+00,1.60e+00,
31,1.20e+00,1.63e+00,
32,1.20e+00,1.63e+00,
33,1.18e+00,1.67e+00,
34,1.18e+00,1.67e+00,
35,1.14e+00,1.69e+00,
36,1.14e+00,1.69e+00,
37,1.12e+00,1.73e+00,
38,1.12e+00,1.73e+00,
39,1.07e+00,1.76e+00,
40,1.07e+00,1.78e+00,
41,1.04e+00,1.80e+00,
42,1.03e+00,1.80e+00,
43,1.01e+00,1.84e+00,
44,1.01e+00,1.84e+00,
45,9.84e-01,1.88e+00,
46,9.60e-01,1.88e+00,
47,9.36e-01,1.90e+00,
48,9.36e-01,1.90e+00,
49,9.00e-01,1.90e+00,
50,9.00e-01,1.90e+00,
51,8.64e-01,1.86e+00,
52,8.64e-01,1.84e+00,
53,8.28e-01,1.81e+00,
54,8.28e-01,1.81e+00,
55,7.92e-01,1.79e+00,
56,7.92e-01,1.78e+00,
